,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,tweet_tokens,tweet_tokens_fdist,tweet_tokens_WSW,tweet_normalized,tweet_tokens_stemmed
28,1814200202863272311,Fri Jul 19 07:26:49 +0000 2024,0,chudai pporno chudai,1814200202863272311,,,in,Phoenix,0,0,0,https://x.com/Kesley714132140/status/1814200202863272311,1793544900879011841,Kesley714132140,"['chudai', 'pporno', 'chudai']",<FreqDist with 2 samples and 3 outcomes>,"['chudai', 'pporno', 'chudai']","['chudai', 'pporno', 'chudai']","['chudai', 'pporno', 'chudai']"
29,1814180845634347178,Fri Jul 19 07:26:49 +0000 2024,0,red flag red flag wkwkwk,1814200202859061437,,BudiBukanIntel,in,"DKI Jakarta, Indonesia",0,0,0,https://x.com/monti_msb/status/1814200202859061437,1076440539845677057,monti_msb,"['red', 'flag', 'red', 'flag', 'wkwkwk']",<FreqDist with 3 samples and 5 outcomes>,"['red', 'flag', 'red', 'flag', 'wkwkwk']","['red', 'flag', 'red', 'flag', 'wkwkwk']","['red', 'flag', 'red', 'flag', 'wkwkwk']"
30,1814126990481559894,Fri Jul 19 07:26:49 +0000 2024,0,jt an klo  salah yaakk,1814200202762625117,,HilFachruddin,in,di hatimu yank👩‍❤️‍👨💍,0,0,0,https://x.com/AiraNtieReal/status/1814200202762625117,1428002673815482369,AiraNtieReal,"['jt', 'an', 'klo', 'salah', 'yaakk']",<FreqDist with 5 samples and 5 outcomes>,"['jt', 'an', 'salah', 'yaakk']","['jt', 'an', 'salah', 'yaakk']","['jt', 'an', 'salah', 'yaakk']"
31,1814190732418380281,Fri Jul 19 07:26:49 +0000 2024,0,fcuk mera bhi yahi issue aya,1814200202716152212,,radiantnavin,in,,0,0,0,https://x.com/ayegatohchodihi/status/1814200202716152212,1255534186343157767,ayegatohchodihi,"['fcuk', 'mera', 'bhi', 'yahi', 'issue', 'aya']",<FreqDist with 6 samples and 6 outcomes>,"['fcuk', 'mera', 'bhi', 'yahi', 'issue', 'aya']","['fcuk', 'mera', 'bhi', 'yahi', 'issue', 'aya']","['fcuk', 'mera', 'bhi', 'yahi', 'issue', 'aya']"
32,1814194479131222311,Fri Jul 19 07:26:49 +0000 2024,0,panass,1814200202565488738,,curiouesz,in,ISFP-T,0,0,0,https://x.com/lvendery/status/1814200202565488738,1494641855879069698,lvendery,['panass'],<FreqDist with 1 samples and 1 outcomes>,['panass'],['panass'],['panass']
33,1814170569421869439,Fri Jul 19 07:26:49 +0000 2024,0,gapapa lebih bagus drpd dtg sendiri ak tkut wkwk,1814200202536067355,,yoonwchae,in,R•Chzs(⁠｡⁠♡⁠‿⁠♡⁠｡⁠),0,0,0,https://x.com/neutellla/status/1814200202536067355,866414248544485376,neutellla,"['gapapa', 'lebih', 'bagus', 'drpd', 'dtg', 'sendiri', 'ak', 'tkut', 'wkwk']",<FreqDist with 9 samples and 9 outcomes>,"['gapapa', 'bagus', 'drpd', 'dtg', 'ak', 'tkut', 'wkwk']","['tidak apa apa', 'bagus', 'drpd', 'dtg', 'saya', 'tkut', 'wkwk']","['tidak apa apa', 'bagus', 'drpd', 'dtg', 'saya', 'tkut', 'wkwk']"
34,1814194007557509330,Fri Jul 19 07:26:49 +0000 2024,0,colets aiah ko,1814200202527682703,,_colet_s,in,,0,0,0,https://x.com/marayuhq/status/1814200202527682703,1671128399526625280,marayuhq,"['colets', 'aiah', 'ko']",<FreqDist with 3 samples and 3 outcomes>,"['colets', 'aiah', 'ko']","['colets', 'aiah', 'ko']","['colets', 'aiah', 'ko']"
35,1814190504814506230,Fri Jul 19 07:26:49 +0000 2024,0,jawa,1814200202431287407,,tempodotco,in,,0,0,0,https://x.com/pangaeaf1/status/1814200202431287407,1369188174,pangaeaf1,['jawa'],<FreqDist with 1 samples and 1 outcomes>,['jawa'],['jawa'],['jawa']
36,1814200202267590683,Fri Jul 19 07:26:49 +0000 2024,0,nasi setengah bihun goreng urap tempe rp lagi jumat berkah apa ya biasanya lauk kisaran rbrb,1814200202267590683,,,in,Somewhere Only We Know,0,0,0,https://x.com/_bitterbuttrue/status/1814200202267590683,1423986427373637635,_bitterbuttrue,"['nasi', 'setengah', 'bihun', 'goreng', 'urap', 'tempe', 'rp', 'lagi', 'jumat', 'berkah', 'apa', 'ya', 'biasanya', 'lauk', 'kisaran', 'rbrb']",<FreqDist with 16 samples and 16 outcomes>,"['nasi', 'bihun', 'goreng', 'urap', 'tempe', 'rp', 'jumat', 'berkah', 'lauk', 'kisaran', 'rbrb']","['nasi', 'bihun', 'goreng', 'urap', 'tempe', 'rp', 'jumat', 'berkah', 'lauk', 'kisaran', 'rbrb']","['nasi', 'bihun', 'goreng', 'urap', 'tempe', 'rp', 'jumat', 'berkah', 'lauk', 'kisar', 'rbrb']"
37,1814200202137592124,Fri Jul 19 07:26:49 +0000 2024,0,info akun yang banyak like amp percakapan bokep porno lokal full durasi,1814200202137592124,,,in,,0,0,0,https://x.com/BelvealA43821/status/1814200202137592124,1789387597086932992,BelvealA43821,"['info', 'akun', 'yang', 'banyak', 'like', 'amp', 'percakapan', 'bokep', 'porno', 'lokal', 'full', 'durasi']",<FreqDist with 12 samples and 12 outcomes>,"['info', 'akun', 'like', 'percakapan', 'bokep', 'porno', 'lokal', 'full', 'durasi']","['info', 'akun', 'like', 'percakapan', 'bokep', 'porno', 'lokal', 'full', 'durasi']","['info', 'akun', 'like', 'cakap', 'bokep', 'porno', 'lokal', 'full', 'durasi']"
